Citizen ID,mvar_1,mvar_2,mvar_3,mvar_4,mvar_5,mvar_6,mvar_7,mvar_8,mvar_9,mvar_10,mvar_11,mvar_12,mvar_13,mvar_14,mvar_15,mvar_16,mvar_17,mvar_18,mvar_19,mvar_20,mvar_21,mvar_22,mvar_23,mvar_24,mvar_25,mvar_26,mvar_27,mvar_28,mvar_29,mvar_30
C57093,EBONY,$10 ,$15 ,$25 ,$40 ,$100 ,,,,,,Others,3,2,45-55,1,0,2,12,0.7,3,primary,,8,,6,14,,,
C57094,EBONY,$99 ,$372 ,$25 ,$49 ,$140 ,2,17,1,56,2,Others,3,4,25-35,0,0,3,14,0.5,2,primary,1,,,,3,2,,
C57095,CENTAUR,$239 ,$578 ,$85 ,$58 ,$267 ,4,32,6,100,3,Others,3,3,55+,0,0,0,20,0.7,4,primary,3,,1,,4,,,
C57096,CENTAUR,$127 ,$162 ,$25 ,$40 ,$123 ,2,3,0,39,0,Others,3,5,25-35,1,1,4,33,0.5,2,primary,,,,,0,,,
C57097,CENTAUR,$334 ,$829 ,$144 ,$158 ,"$1,454 ",15,38,7,371,20,Others,3,5,25-35,1,0,4,22,0.3,2,primary,,,,,8,8,,
C57098,CENTAUR,"$3,204 ","$11,766 ","$1,655 ",$250 ,$835 ,42,132,32,412,11,Others,3,1,45-55,0,1,1,40,0.4,1,primary,2,,,,2,,,
C57099,COSMOS,$10 ,$71 ,$79 ,$56 ,$182 ,0,3,10,67,5,Others,3,3,55+,0,1,3,20,0.7,2,primary,,,,9,15,6,,
C57100,ODYSSEY,"$1,030 ",$930 ,$184 ,$42 ,$166 ,1,33,4,59,1,Others,3,5,35-45,0,0,0,42,0.4,2,primary,,,,1,2,1,,
C57101,COSMOS,$11 ,"$1,104 ",$25 ,$40 ,$125 ,1,48,0,13,0,Others,3,3,18-24,1,0,2,24,0.3,1,primary,,,,6,17,11,,
C57102,CENTAUR,$778 ,"$1,991 ",$529 ,$149 ,$373 ,10,118,12,315,25,Others,3,3,25-35,0,0,3,6,0.5,3,primary,1,,,,1,,,
C57103,COSMOS,"$1,899 ",$207 ,$25 ,$40 ,$139 ,5,15,0,85,1,Others,3,5,45-55,1,1,1,14,0.4,2,primary,,,,,0,,,
C57104,COSMOS,$132 ,$684 ,$340 ,$48 ,$102 ,14,46,13,36,4,Others,3,3,18-24,1,1,3,47,0.1,4,MBA,,,,11,22,11,,
